method,contract,space_steps,time_steps,value,reference,error,seconds,upwind_nodes
CRR,European,0,240,5.56519821865949,5.573526022256971,-0.008327803597480532,0.0005335000000741275,0
CRR,Bermudan,0,240,6.040127792857206,6.042652049742014,-0.002524256884808729,0.0006606669999200676,0
CRR,European,0,480,5.5693610285840425,5.573526022256971,-0.004164993672928219,0.0009758329997566761,0
CRR,Bermudan,0,480,6.040858712981575,6.042652049742014,-0.0017933367604392458,0.0011377089999768941,0
CRR,European,0,960,5.571443253512907,5.573526022256971,-0.0020827687440636566,0.0021569590003309713,0
CRR,Bermudan,0,960,6.041801079466565,6.042652049742014,-0.0008509702754491144,0.0023606670001754537,0
CRR,European,0,1920,5.57248457004021,5.573526022256971,-0.0010414522167607743,0.004824207999718055,0
CRR,Bermudan,0,1920,6.042320972314174,6.042652049742014,-0.00033107742784022065,0.005083291000119061,0
PDE,European,100,240,5.533705358280311,5.573526022256971,-0.039820663976660065,0.004801250000127766,1
PDE,Bermudan,100,240,6.00447872541987,6.042652049742014,-0.03817332432214471,0.0051243339999018644,1
PDE,European,200,480,5.563626766061172,5.573526022256971,-0.009899256195798678,0.010108124999987922,1
PDE,Bermudan,200,480,6.032811083334867,6.042652049742014,-0.009840966407147711,0.010689167000236921,1
PDE,European,400,960,5.571054621967301,5.573526022256971,-0.002471400289669745,0.024424083000212704,1
PDE,Bermudan,400,960,6.040494567929343,6.042652049742014,-0.002157481812671058,0.024047624999639083,1
PDE,European,800,1920,5.572908384337947,5.573526022256971,-0.0006176379190234726,0.06204170899991368,1
PDE,Bermudan,800,1920,6.042178313150074,6.042652049742014,-0.00047373659194072104,0.06318724999982805,1
